propServerA,propServerB,bestof,model,pointServeRate,pointRate,holdRate,gameRate,setRate,winRate,expPoints,expGames,expSets,tiebreakRate,medianTGames
0.11,0.7,3,static,0.10934,0.21681,0.0018768,0.051038,0,0,14.171,0.6454,0,0,12
0.11,0.71,3,static,0.11039,0.20983,0.0018419,0.044304,0,0,13.511,0.5563,0,0,12
0.11,0.72,3,static,0.11039,0.20516,0.0024767,0.040345,0,0,13.079,0.5045,0,0,12
0.11,0.73,3,static,0.11184,0.19807,0.0020261,0.034011,0,0,12.442,0.4225,0,0,12
0.11,0.74,3,static,0.10972,0.1927,0.0020989,0.030138,0,0,11.983,0.3729,0,0,12
0.11,0.75,3,static,0.10952,0.18601,0.0021879,0.026906,0,0,11.417,0.3318,0,0,12
0.11,0.76,3,static,0.10968,0.17995,0.0022142,0.02273,0,0,10.915,0.2791,0,0,12
0.11,0.77,3,static,0.10999,0.17391,0.0020079,0.019688,0,0,10.431,0.241,0,0,12
0.11,0.78,3,static,0.11082,0.1691,0.0023586,0.016917,0,0,10.057,0.2065,0,0,12
0.11,0.79,3,static,0.11039,0.16371,0.0019715,0.014422,0,0,9.6422,0.1756,0,0,12
0.11,0.8,3,static,0.10987,0.15796,0.0021899,0.011809,0,0,9.2144,0.1434,0,0,12
0.11,0.81,3,static,0.11056,0.15147,0.0024093,0.0094515,0,0,8.7366,0.1145,0,0,12
0.11,0.82,3,static,0.10991,0.14633,0.0023961,0.0081907,0,0,8.3776,0.0991,0,0,12
0.11,0.83,3,static,0.11093,0.14148,0.0020513,0.0068609,0,0,8.0336,0.0829,0,0,12
0.11,0.84,3,static,0.11043,0.13533,0.0020881,0.0053298,0,0,7.6127,0.0643,0,0,12
0.11,0.85,3,static,0.11017,0.13076,0.0020576,0.0045789,0,0,7.3042,0.0552,0,0,12
0.11,0.86,3,static,0.11043,0.12564,0.002125,0.0037773,0,0,6.9685,0.0455,0,0,12
0.11,0.87,3,static,0.10989,0.12037,0.0019937,0.0032064,0,0,6.6279,0.0386,0,0,12
0.11,0.88,3,static,0.10952,0.11466,0.0019455,0.0024274,0,0,6.2638,0.0292,0,0,12
0.11,0.89,3,static,0.11019,0.10943,0.002478,0.0021122,0,0,5.9364,0.0254,0,0,12
0.12,0.1,3,static,0.1203,0.50656,0.0029554,0.50549,0.56502,0.5983,87.183,16.282,1.4082,0.97416,26
0.12,0.11,3,static,0.12007,0.50353,0.0030189,0.503,0.53583,0.5502,86.541,16.178,1.3354,0.96902,26
0.12,0.12,3,static,0.11989,0.50004,0.0029778,0.50013,0.50148,0.5052,86.367,16.121,1.2536,0.96544,26
0.12,0.13,3,static,0.11957,0.49682,0.003019,0.49759,0.47189,0.4573,85.888,16.027,1.1801,0.96025,32
0.12,0.14,3,static,0.11965,0.49341,0.002715,0.49452,0.44145,0.4114,85.037,15.885,1.1034,0.95083,26
0.12,0.15,3,static,0.11997,0.49044,0.0030459,0.4921,0.4146,0.372,84.025,15.682,1.0304,0.94166,26
0.12,0.16,3,static,0.11985,0.48679,0.0027565,0.48847,0.38049,0.3235,82.946,15.459,0.9416,0.92953,26
0.12,0.17,3,static,0.12,0.48376,0.0032401,0.48643,0.36023,0.2939,81.946,15.28,0.8879,0.91565,26
0.12,0.18,3,static,0.12009,0.48062,0.0027249,0.4834,0.33649,0.2633,80.626,15.019,0.8231,0.90225,26
0.12,0.19,3,static,0.11898,0.47673,0.0027197,0.47974,0.30494,0.2227,78.947,14.678,0.7381,0.88329,26
0.12,0.2,3,static,0.12,0.47387,0.0028913,0.47726,0.28994,0.2045,77.76,14.451,0.6981,0.86228,26
0.12,0.21,3,static,0.11992,0.47038,0.0032482,0.47398,0.26666,0.1724,76.41,14.18,0.6383,0.83736,26
0.12,0.22,3,static,0.12024,0.46694,0.0029599,0.46984,0.24029,0.1429,74.701,13.825,0.5698,0.80968,26
0.12,0.23,3,static,0.11974,0.46369,0.0029585,0.46653,0.22191,0.1253,73.132,13.499,0.5208,0.7861,26
0.12,0.24,3,static,0.12007,0.45999,0.0029125,0.46233,0.20036,0.1024,71.39,13.143,0.4659,0.75681,26
0.12,0.25,3,static,0.12019,0.45674,0.0028427,0.45865,0.18614,0.0909,69.748,12.805,0.4288,0.72475,26
0.12,0.26,3,static,0.11986,0.45289,0.0030038,0.454,0.16456,0.0725,67.832,12.398,0.3745,0.68697,26
0.12,0.27,3,static,0.12059,0.44914,0.0027763,0.4486,0.14702,0.0587,65.771,11.974,0.3311,0.64587,26
0.12,0.28,3,static,0.12056,0.44588,0.0031941,0.44476,0.13289,0.0493,64.133,11.627,0.2959,0.61646,25
0.12,0.29,3,static,0.12019,0.44177,0.0028395,0.43877,0.11524,0.0372,62.141,11.208,0.254,0.58087,23
0.12,0.3,3,static,0.121,0.43766,0.0030962,0.4322,0.10049,0.0296,59.907,10.727,0.2189,0.52642,23
0.12,0.31,3,static,0.1202,0.43374,0.0028181,0.42657,0.089311,0.0237,58.262,10.366,0.193,0.48885,23
0.12,0.32,3,static,0.12082,0.42971,0.0029001,0.41985,0.075712,0.0164,56.393,9.9552,0.1621,0.44573,23
0.12,0.33,3,static,0.11977,0.42518,0.0031852,0.4134,0.065718,0.0126,54.482,9.5706,0.1395,0.40373,22
